,open_time,status,side,open_quantity,symbol,avg_open_price,close_quantity,avg_close_price,close_time,profit
0,6/21/22 09:34:56,CLOSED,SELL,300,NVDA,167.1,300,166.79,6/21/22 09:40:58,93.0
1,6/21/22 09:42:35,CLOSED,SELL,200,NVDA,167.06,200,166.205,6/21/22 09:45:17,171.0
2,6/21/22 09:49:27,CLOSED,SELL,500,NVDA,167.196,500,169.56,6/21/22 10:06:32,-1182.0
3,6/21/22 10:08:41,CLOSED,SELL,500,NVDA,169.16,500,168.5,6/21/22 10:16:57,330.0
4,6/21/22 10:28:48,CLOSED,BUY,2500,NVDA,169.154,2500,168.93,6/21/22 11:09:56,-560.0
5,6/21/22 11:10:16,CLOSED,BUY,500,NVDA,169.51,500,169.66,6/21/22 11:10:49,75.0
6,6/21/22 11:15:16,CLOSED,SELL,500,NVDA,169.53,500,169.43,6/21/22 11:23:24,50.0
7,6/21/22 11:26:03,CLOSED,SELL,500,NVDA,169.32,500,169.0,6/21/22 11:40:54,160.0
8,6/21/22 11:45:59,CLOSED,BUY,500,NVDA,168.406,500,168.51,6/21/22 11:50:27,52.0
9,6/21/22 11:51:48,CLOSED,BUY,500,NVDA,168.31,500,168.04,6/21/22 11:53:07,-135.0
10,6/21/22 11:53:07,CLOSED,SELL,500,NVDA,168.04,500,168.02,6/21/22 11:56:07,10.0
11,6/21/22 11:57:42,CLOSED,SELL,1500,NVDA,167.93666666666667,1500,167.73333333333332,6/21/22 12:04:02,305.0000000000291
12,6/21/22 12:04:45,CLOSED,BUY,500,NVDA,167.63,500,167.74,6/21/22 12:04:55,55.0
13,6/21/22 12:06:01,CLOSED,BUY,500,NVDA,167.65,500,167.25,6/21/22 12:08:49,-200.0
14,6/21/22 12:08:59,CLOSED,SELL,500,NVDA,167.17,500,167.89,6/21/22 12:15:52,-360.0
15,6/21/22 12:16:56,CLOSED,SELL,500,NVDA,167.93,500,168.38,6/21/22 12:40:18,-225.0
16,6/21/22 12:40:35,CLOSED,SELL,2000,NVDA,168.688,2000,168.4595,6/21/22 13:21:15,457.0
17,6/21/22 13:40:20,CLOSED,SELL,500,NVDA,168.286,500,167.95,6/21/22 13:55:30,168.0
18,6/21/22 14:06:43,CLOSED,SELL,500,NVDA,167.38,500,167.18,6/21/22 14:07:02,100.0
19,6/21/22 14:07:10,CLOSED,BUY,500,NVDA,167.3,500,167.36,6/21/22 14:07:34,30.0
20,6/21/22 14:07:48,CLOSED,SELL,500,NVDA,167.39,500,167.33,6/21/22 14:07:59,30.0
21,6/21/22 14:09:47,CLOSED,BUY,500,NVDA,167.19,500,167.31,6/21/22 14:10:34,60.0
22,6/21/22 14:14:24,CLOSED,BUY,500,NVDA,167.0,500,167.01,6/21/22 14:15:28,5.0
23,6/21/22 14:28:27,CLOSED,SELL,500,NVDA,166.96,500,166.6,6/21/22 14:40:07,180.0
24,6/21/22 14:40:42,CLOSED,SELL,500,NVDA,167.1,500,166.97,6/21/22 14:47:54,65.0
25,6/21/22 14:48:09,CLOSED,SELL,500,NVDA,167.05,500,166.81,6/21/22 14:50:03,120.0
26,6/21/22 15:05:23,CLOSED,SELL,500,NVDA,166.88,500,166.39,6/21/22 15:23:42,245.0
